

doubt:
(1009, [(1, 2, 10), (4, 6, 9)], 2)

(12384, [(1, 6, 23), (2, 12, 22), (15, 16, 17)], 3)

(82278, [(3, 14, 43), (11, 19, 42), (16, 21, 41), (28, 29, 33)], 4)

(746992, [(4, 71, 73), (6, 51, 85), (8, 58, 82), (22, 38, 88), (25, 62, 79)], 5)

(5401404, [(9, 51, 174), (15, 117, 156), (21, 32, 175), (57, 60, 171), (71, 82, 165), (78, 91, 161)], 6)

(15685704, [(18, 38, 250), (57, 164, 223), (61, 83, 246), (82, 188, 204), (84, 180, 210), (122, 123, 229), (135, 160, 209)], 7)

(26936064, [(12, 100, 296), (36, 204, 264), (62, 219, 253), (67, 114, 293), (87, 225, 246), (108, 228, 240), (112, 212, 252), (138, 207, 249)], 8)

precise:

[36, (27, 8, 1)]
[1009, (729, 216, 64), (1000, 8, 1)]
[12384, (4913, 4096, 3375), (10648, 1728, 8), (12167, 216, 1)]
[82278, (35937, 24389, 21952), (68921, 9261, 4096), (74088, 6859, 1331), (79507, 2744, 27)]

all cubes:

(79155, [(7, 33, 35), (11, 24, 40), (15, 19, 41)], 3) ,
(79633, [(1, 5, 43), (2, 25, 40), (4, 22, 41)], 3) ,
(80263, [(3, 9, 43), (7, 18, 42), (16, 23, 40)], 3) ,
(80452, [(2, 31, 37), (6, 9, 43), (25, 28, 35)], 3) ,
(82088, [(6, 30, 38), (8, 26, 40), (10, 23, 41)], 3) ,
(82278, [(3, 14, 43), (11, 19, 42), (16, 21, 41), (28, 29, 33)], 4) ,
(87408, [(3, 13, 44), (18, 26, 40), (23, 33, 34)], 3) ,
(90280, [(5, 22, 43), (10, 16, 44), (19, 32, 37)], 3) ,
(91216, [(3, 4, 45), (6, 30, 40), (7, 28, 41)], 3) ,
(92520, [(4, 11, 45), (22, 30, 38), (25, 26, 39)], 3) ,
(93744, [(6, 35, 37), (14, 30, 40), (18, 24, 42)], 3) ,
(96984, [(3, 18, 45), (6, 32, 40), (12, 33, 39)], 3) ,
(99072, [(2, 12, 46), (4, 24, 44), (30, 32, 34)], 3) ,
(100836, [(3, 25, 44), (5, 15, 46), (29, 31, 36)], 3) ,
(103104, [(11, 22, 45), (16, 24, 44), (27, 32, 37)], 3) ,
(103832, [(1, 2, 47), (14, 30, 42), (20, 22, 44)], 3) ,
(104824, [(1, 10, 47), (22, 34, 38), (24, 30, 40)], 3) ,
(105624, [(12, 29, 43), (15, 17, 46), (16, 36, 38)], 3) ,
(112832, [(8, 12, 48), (16, 17, 47), (26, 33, 39)], 3) ,
(115471, [(3, 33, 43), (10, 22, 47), (23, 34, 40)], 3) ,
(117990, [(5, 6, 49), (7, 24, 47), (17, 28, 45)], 3) ,
(119601, [(3, 37, 41), (9, 38, 40), (16, 17, 48)], 3) ,
(122725, [(7, 35, 43), (10, 29, 46), (32, 34, 37)], 3) ,
(126225, [(2, 25, 48), (14, 18, 49), (22, 36, 41)], 3) ,
(133288, [(5, 8, 51), (15, 17, 50), (23, 33, 44)], 3) ,
(138293, [(8, 36, 45), (9, 17, 51), (32, 37, 38)], 3) ,
(140832, [(2, 6, 52), (14, 40, 42), (34, 36, 38)], 3) ,
(142064, [(5, 11, 52), (24, 39, 41), (26, 34, 44)], 3) ,
(148771, [(7, 41, 43), (11, 31, 49), (19, 21, 51)], 3) ,
(149731, [(5, 9, 53), (17, 23, 51), (32, 35, 42)], 3) ,
(152216, [(2, 38, 46), (6, 30, 50), (25, 32, 47)], 3) ,
(157256, [(2, 36, 48), (6, 29, 51), (32, 34, 44)], 3) ,
(158040, [(4, 8, 54), (10, 29, 51), (18, 38, 46)], 3) ,
(158201, [(2, 9, 54), (16, 41, 44), (25, 26, 50)], 3) ,
(158696, [(1, 38, 47), (8, 26, 52), (23, 33, 48)], 3) ,
(159256, [(4, 12, 54), (20, 22, 52), (33, 39, 40)], 3) ,
(160964, [(3, 33, 50), (5, 15, 54), (19, 41, 44)], 3) ,
(161253, [(2, 37, 48), (9, 35, 49), (12, 22, 53)], 3) ,
(164627, [(5, 25, 53), (11, 18, 54), (19, 32, 50)], 3) ,
(167383, [(2, 10, 55), (19, 35, 49), (30, 31, 48)], 3) ,
(167616, [(2, 30, 52), (8, 9, 55), (13, 32, 51), (35, 37, 42)], 4) ,
(168615, [(3, 33, 51), (8, 12, 55), (24, 31, 50)], 3) ,
(170856, [(3, 28, 53), (14, 22, 54), (32, 40, 42)], 3) ,
(175104, [(4, 26, 54), (8, 40, 48), (9, 20, 55), (12, 32, 52)], 4) ,
(175742, [(1, 5, 56), (6, 35, 51), (17, 28, 53)], 3) ,
(179208, [(18, 32, 52), (22, 27, 53), (30, 38, 46)], 3) ,
(180872, [(7, 17, 56), (10, 38, 50), (18, 26, 54)], 3) ,
(182125, [(5, 25, 55), (27, 31, 51), (30, 40, 45)], 3) ,
(183331, [(1, 43, 47), (3, 37, 51), (11, 25, 55)], 3) ,
(184680, [(6, 30, 54), (9, 26, 55), (27, 29, 52)], 3) ,
(186257, [(4, 10, 57), (25, 43, 45), (28, 36, 49)], 3) ,
(187524, [(1, 38, 51), (10, 11, 57), (30, 35, 49)], 3) ,
(188252, [(9, 38, 51), (11, 12, 57), (15, 21, 56)], 3) ,
(189008, [(1, 44, 47), (2, 40, 50), (14, 22, 56)], 3) ,
(189783, [(7, 24, 56), (18, 26, 55), (34, 36, 47)], 3) ,
(192095, [(5, 39, 51), (7, 35, 53), (11, 29, 55)], 3) ,
(193409, [(2, 33, 54), (6, 20, 57), (34, 41, 44)], 3) ,
(193536, [(7, 20, 57), (16, 24, 56), (25, 42, 47)], 3) ,
(199655, [(5, 37, 53), (8, 32, 55), (22, 44, 47)], 3) ,
(200052, [(3, 17, 58), (5, 39, 52), (19, 20, 57)], 3) ,
(200143, [(6, 39, 52), (10, 32, 55), (15, 34, 54)], 3) ,
(200348, [(7, 29, 56), (11, 24, 57), (23, 34, 53)], 3) ,
(203400, [(15, 17, 58), (18, 28, 56), (32, 43, 45)], 3) ,
(204632, [(5, 43, 50), (8, 36, 54), (25, 44, 47)], 3) ,
